name,status,url,title,channel,duration_s,note
Hanging Leg Raise,matched,https://youtu.be/Yrtvs-nEnk0,How To Do Hanging Leg Raises,PureGym,11.0,
Machine Assisted Pull-Up,matched,https://youtu.be/BOqrRMjxkj8,How To Machine Assisted Pull Up,Third Space London,11.0,
Dumbbell Incline Fly,matched,https://youtu.be/JSDpq14vCZ8,How To Do An Incline Dumbbell Fly,PureGym,16.0,same video used for several exercises
Barbell Shoulder Press,matched,https://youtu.be/t9GuiNQo1O4,How To Do The Landmine Shoulder Press,Ian Nimblett,16.0,
Cable One-Arm Tricep Pushdown,matched,https://youtu.be/R5CYN650Zls,One Arm Tricep Pushdown on Cable- Supinated Grip,FitNut,21.0,
Smith Machine Incline Bench Press,matched,https://youtu.be/GWPyAnB2K5I,Smith Machine Incline Bench Press,The Female Collective ,25.0,same video used for several exercises
Cable Lower Chest Raise,matched,https://youtu.be/7bL9GyLc7KY,How to do Cable Lower Chest Raise workout? lower cable fly | lower chest solution #push #shorts,Ravidahiya fitness journey,16.0,
Dumbbell Concentration Curl,matched,https://youtu.be/RFjAyUwHuQA,How To: Dumbbell Concentration Curl,AppDiggity,6.0,
Leg Raise,matched,https://youtu.be/qvi8aM02_GY,Straight Leg Raise,Health,27.0,
Leverage Machine Iso Row,matched,https://youtu.be/QEo_m-WTaUs,Leverage Iso Row,Musqle,25.0,
Weighted Pull-Up,matched,https://youtu.be/CQX8tDQdMlo,Easier Setup For Weighted Pull Ups,Testosterone Nation,18.0,
Dumbbell Side Bend,matched,https://youtu.be/ltVi1F5SBkE,How to: Dumbbell Side Bends,Rachel Scheer,25.0,
Cable Mid Chest Crossover,matched,https://youtu.be/vsbYFIU_Quk,Cable Crossover Mid Finish (Training video 4 you) chest work,trainingvideo4you,21.0,
Dumbbell Incline Bench Row,matched,https://youtu.be/Ih13PJnikao,Incline bench row,Gym Workout,19.0,
T Bar Row,matched,https://youtu.be/hYo72r8Ivso,How To Do T Bar Rows (Landmine Rows),PureGym,11.0,same video used for several exercises
Dumbbell Squat,matched,https://youtu.be/hZI8Yy5elZs,How to do a Dumbbell Front Squat | Proper Form & Technique | NASM,National Academy of Sports Medicine (NASM),25.0,
Dumbbell One-Arm Preacher Curl,matched,https://youtu.be/Sn6flwZ5EWk,One Arm Dumbbell Preacher Curl,fitnessresults1,14.0,
Cable V Bar Pulldown,matched,https://youtu.be/gNFMkFL5yPQ,V-Bar Cable Lat Pulldown Machine,OPEX Fitness,15.0,
Cable Leg Kickback,no_match,,,,,
Machine Dip,matched,https://youtu.be/cz6LTUYCSt0,"Chest, Shoulder, and Tricep Exercises: Dip Machine",Biohacking Bombshell with Allyssa LaScala,27.0,
Barbell Shrug,matched,https://youtu.be/larn3Asl6oM,How To Do Barbell Shrugs,PureGym,11.0,
Dumbbell Seated Side Lateral Raise,matched,https://youtu.be/g_7iXXBrCkY,How to Seated Dumbbell Side Lateral Raise with Hunter Labrada | Exercise Guide,Bodybuilding.com,17.0,
Machine Inner Chest Press,matched,https://youtu.be/Qnm83T1P3Jk,Machine Chest Press- Inner Chest,Aesthetic Physiques,10.0,
Stationary Bike,no_match,,,,,
Barbell Upright Row,matched,https://youtu.be/FMhKUd0BlB4,Barbell Upright Rows,The Barbell Physio,13.0,
Machine Tricep Extension,matched,https://youtu.be/Bx8ga1BLHLE,Machine Triceps Extension,Renaissance Periodization,12.0,
Step Machine,no_match,,,,,
Machine Deltoid Raise,matched,https://youtu.be/RkFVDCZRups,Deltoid Raise Machine,kramallev,22.0,
Smith Machine Squat,matched,https://youtu.be/zZj-ibOLJHs,How To Do Smith Machine Hack Squats,PureGym,12.0,same video used for several exercises
Decline Crunch,matched,https://youtu.be/jYyA_6UR2lw,Decline Crunch,Gym visual,7.0,
Parallel Bar Leg Raise,matched,https://youtu.be/Xg6lP1zsq_E,Abdominal Exercises -- Vertical Leg-Hip Raise -- Parallel Bars,Fitnessyard,16.0,
Dumbbell Reverse Fly,matched,https://youtu.be/zlfisQZSxU0,Reverse Dumbbell Fly,Women's Strength Nation by Holly Perkins,22.0,same video used for several exercises
Cable One-Arm Lat Pulldown,no_match,,,,,
Machine Single-Leg Extension,matched,https://youtu.be/U0tcA7b4c3k,Single Leg Leg Extension Machine,OPEX Fitness,11.0,
Rowing,no_match,,,,,
Dumbbell Deadlift,matched,https://youtu.be/plb5jEO4Unw,COMPOUND EXERCISES - How to do a Dumbbell Deadlift,PureGym,24.0,
Machine Calf Press,matched,https://youtu.be/DuOiuPwiZKY,Calf Raises on Leg Press Machine,My PT Hub,18.0,
Leverage Incline Chest Press,matched,https://youtu.be/ijOS9-7yIug,How To Do A Leverage Incline Chest Press,Steroid Source Talk,23.0,
Dumbbell Hammer Curl (Cross Body),matched,https://youtu.be/CFBZ4jN1CMI,How to do a Dumbbell Hammer Curl,National Academy of Sports Medicine (NASM),19.0,
Machine Back Extension,matched,https://youtu.be/HAS0dQ8O3-U,Life Fitness Back Extension Machine,Marshall Recreation Center,26.0,
Air Bike,matched,https://youtu.be/RF1Bc-5POSo,Simon on the air bike,Vicki Martin,10.0,
Cable Reverse Fly,matched,https://youtu.be/5aMpvA1eoN4,Cable reverse fly full technique,Brendan Falconer,26.0,
Dumbbell Reverse Lunge,matched,https://youtu.be/MpfeGnBFEo8,Dumbbell Reverse Lunge Tutorial,IronmasterPro,28.0,
Smith Machine Bench Press,matched,https://youtu.be/O5viuEPDXKY,Smith Machine Bench Press,Renaissance Periodization,12.0,same video used for several exercises
Dumbbell Walking Lunge,matched,https://youtu.be/OjBR1W4iQx0,Dumbbell Walking Lunge,Testosterone Nation,20.0,
EZ Bar Decline Close Grip Skull Crusher,matched,https://youtu.be/9LdvNiNOa7U,O-B FIT. Triceps Exercise. Skull Crusher & Close Grip E-Z Bar Chest Press,O-B Fit,21.0,
Dumbbell Seated Tricep Press,matched,https://youtu.be/Y9EISeh1KuM,Seated dumbbell tricep press,Truetolifefitness.com,14.0,
Machine Leg Press (Wide Stance),matched,https://youtu.be/dhRz1Ns60Zg,How To Do Calf Raises On The Leg Press,PureGym,14.0,same video used for several exercises
Cable Wood Chop,matched,https://youtu.be/iWxTGXIViro,Cable Woodchopper,Ekspert Sports Performance,12.0,
Dumbbell Step-Up,matched,https://youtu.be/9ZknEYboBOQ,Dumbbell Step-up - How To,Bobby Maximus,25.0,
Cable One-Arm Seated Row,matched,https://youtu.be/PFGa5_PvgVQ,Seated One Arm Row   Cable,FlowFit,11.0,
Smith Machine Shoulder Press,matched,https://youtu.be/GcY6TZxfS0k,How To Use The Shoulder Press Machine,PureGym,11.0,same video used for several exercises
Bench Dip,matched,https://youtu.be/larQGD02ndE,Bench Dips,Team Training Day,10.0,
Barbell Row,matched,https://youtu.be/bm0_q9bR_HA,How to do a Barbell Bent Over Row Pronated,National Academy of Sports Medicine (NASM),19.0,
Dumbbell Rear Delt Row,matched,https://youtu.be/t-llLcNvsro,Rear Delt Dumbbell Row,Shannon Billows Fitness,11.0,
Indoor Cycling,matched,https://youtu.be/D1Xu7Lr0R60,Indoor cycling with me 🎖,Spinning instructor Rafael Antonio,20.0,
Dumbbell Wrist Curl (Palms Up),matched,https://youtu.be/2wPpcJBe03o,Dumbbell Bench Wrist Curl,Renaissance Periodization,13.0,same video used for several exercises
Cable Pallof Press with Rotation,matched,https://youtu.be/7Ry_KoNpt7o,Ottawa Personal Trainer: Cable Anti-Rotation (Pallof) Press,customstrength,24.0,
Machine Assisted Dip,matched,https://youtu.be/RABuuVuFrUY,Assisted Machine Tricep Dips,WatchFit,19.0,
Weighted Tricep Dip,matched,https://youtu.be/fjcbsSnrjKc,Weighted Tricep Dips,My PT Hub,14.0,
Machine Reverse Lat Pulldown (Close Grip),matched,https://youtu.be/SNiwpA13ZLU,How To Do A Reverse Grip Lat Pulldown,PureGym,16.0,
Machine Seated Tricep Dip,matched,https://youtu.be/Y1J8MXYBTQM,Seated Dips - Machine Dips - Tricep Exercise,MCiz Fitness,26.0,
EZ Bar Tricep Extension,matched,https://youtu.be/a6wtHEbcORQ,How To Do Underhand Tricep Extension EZ Bar,TJE Performance,23.0,same video used for several exercises
Hanging Knee Raise,matched,https://youtu.be/l7OroezzX9k,Hanging Knee Raise Tutorial - Proper Form and Technique,Runna,23.0,same video used for several exercises
Leverage Chest Press,matched,https://youtu.be/n3Xp2-RYKjk,How To Do A Leverage Chest Press,Steroid Source Talk,22.0,
Machine Single-Leg Press,matched,https://youtu.be/Wr6Bik6Lrp4,Leg Press Machine Single Leg Calf Raises,OPEX Fitness,13.0,
Leverage Decline Chest Press,matched,https://youtu.be/4o7Hcwz6vXk,"Leverage Decline Chest Press: Chest, Pec Exercise Demo How-to",FitSW Fitness Software,13.0,
Cable External Rotation,matched,https://youtu.be/X-JP6sJTZAI,Cable Shoulder External Rotation,E3 Rehab Exercise Library,26.0,
Cable Upright Row,matched,https://youtu.be/WNz7O59GORA,How To Do Cable Upright Rows,PureGym,16.0,same video used for several exercises
Barbell Ab Rollout (Kneeling),matched,https://youtu.be/8CIm5KBLInA,Barbell Core&Upper Body Exercise: Barbell Knee Ab Rollouts,Dalibor Petrinic,19.0,
Weighted Crunch,matched,https://youtu.be/6L5GptvvQaU,Weighted Crunch,OracleFitness,23.0,
Barbell Front Squat,matched,https://youtu.be/Q1Ypb8ZNzI4,How To Do A Barbell front squat,PureGym,14.0,
Dumbbell One-Arm Tricep Extension,matched,https://youtu.be/0SfJvAJMc70,"One Arm Supinated Dumbbell Triceps Extension: Arms, Tricep Exercise Demo How-to",FitSW Fitness Software,15.0,same video used for several exercises
Leverage Machine High Row,matched,https://youtu.be/HCLC4wofXTU,Leverage Machine Mastery： A Guide to Lever High Row Exercise 05811201 Lever High Row plate loaded Ba,Hugo Maturana,7.0,
Dumbbell Wrist Curl (Palms Down),matched,https://youtu.be/2wPpcJBe03o,Dumbbell Bench Wrist Curl,Renaissance Periodization,13.0,same video used for several exercises
Dumbbell Deep Push-Up,matched,https://youtu.be/r5Q7vgoiriU,Dumbbell feet elevated 1+1/4 deep push up,Valerio Balestri,29.0,
Bench Weighted Decline Crunch,matched,https://youtu.be/EtH_zD5_dgk,How To Do: Weighted Crunch - Decline Bench | Ab Workout Exercise,Fitway - Workout Trainer,24.0,
Barbell Reverse Curl,matched,https://youtu.be/8DmRsmvHhss,Reverse Curls With Barbell,Chunk Fitness,25.0,
Dumbbell Upright Row,matched,https://youtu.be/Rd5AsxOGqss,How To Do Dumbbell Upright Rows,PureGym,16.0,
Barbell Lunge,matched,https://youtu.be/aWBiR5gSEes,Barbell Lunge Exercise,Critical Bench Compound,19.0,
Barbell Tricep Extension (Supine),matched,https://youtu.be/jZEnlrNh4Rg,Barbell Tricep Extensions from the Floor,Testosterone Nation,14.0,same video used for several exercises
Barbell Landmine Kneeling One-Arm Press,matched,https://youtu.be/THlCDeLL0HQ,Half-Kneeling One-Arm Landmine Press,Girls Gone Strong | Women's Health & Fitness,8.0,
Cable Reverse Curl,matched,https://youtu.be/KHC9toCk_j0,Cable Reverse Curl,Uplift Fitness,16.0,
Cable One-Arm Reverse Fly,matched,https://youtu.be/64A8HodRTSY,One Arm Cable Reverse Fly,Reps -id,25.0,
Barbell Military Press (Seated),matched,https://youtu.be/43GSKivZnw4,How To Do The Military Press,PureGym,23.0,same video used for several exercises
Cable Rope High Pulley Tricep Extension,matched,https://youtu.be/fWEg_zamRmY,Rope High Pulley Tricep Extension (www.trainatp.com),gshinoskie,26.0,
"Dumbbell Tricep Extension (Floor, Supine)",matched,https://youtu.be/sTULdX4lgS8,High Blood Pressure Prevention Short Video Preview (Dumbbell Tricep Extension) #shorts,Andy Brown,16.0,same video used for several exercises
Cable Tricep Kickback,matched,https://youtu.be/xhUcI2wiiRQ,How To: Cable Tricep Kickback,AppDiggity,5.0,
Chin-Up (Close Grip),matched,https://youtu.be/2un9lmE62Kg,How To: Chin Up Jawline Exercise,Live Lean TV Daily Exercises,27.0,same video used for several exercises
Kettlebell Single-Leg Deadlift,matched,https://youtu.be/VnHvZtV8Gz0,Single Leg Single Kettlebell Deadlift,Functional Bodybuilding,15.0,
Cable Incline Fly,matched,https://youtu.be/7SqnWtgrFZQ,Incline Cable Fly - OPEX Exercise Library,OPEX Fitness,13.0,same video used for several exercises
Dumbbell Tricep Extension (Supine),matched,https://youtu.be/sTULdX4lgS8,High Blood Pressure Prevention Short Video Preview (Dumbbell Tricep Extension) #shorts,Andy Brown,16.0,same video used for several exercises
Dumbbell Plie Squat,matched,https://youtu.be/1mYbJgANqIc,Plie Squat With Dumbbell,MyBrideBodDotCom,24.0,
Dumbbell Incline Hammer Curl,matched,https://youtu.be/1Z6XiaBxwHQ,Incline Dumbbell Hammer Curl - OPEX Exercise Library,OPEX Fitness,14.0,same video used for several exercises
Bodyweight Lunge,matched,https://youtu.be/gV1i6xY3Ah4,Bodyweight Squat-Lunge Combo,Outright Fitness and Performance,18.0,
Parallel Bar Hip Raise,matched,https://youtu.be/YqRJl-iqz1g,Knee Hip Raise On Parallel Bars   Exercise Videos & Guides   Bodybuilding com,Fatih Arslan,21.0,
Dumbbell Farmers Carry,matched,https://youtu.be/Pvm5omaqlz4,How to | Dumbbell Farmers Carry Hold,Mayhem Athlete,11.0,
Cable Front Raise,matched,https://youtu.be/vtH93qBItdk,How To Do A Cable Front Raise,PureGym,16.0,
Dumbbell Seated Bent-Over Reverse Fly,matched,https://youtu.be/B_u8JvcV0OA,Bent Over Dumbbell Reverse Fly (seated),Chalk Fitness,22.0,
Swimming,no_match,,,,,
Chin-Up with Knee Raise,matched,https://youtu.be/sRNSYSNN3RU,Plyometric Chin-ups with a Knee Raise,Chad Howse,8.0,
Smith Machine Shrug,matched,https://youtu.be/neaXG4eRoP4,How To Do Smith Machine Shrug,TJE Performance,18.0,
Alternating Heel Touch,matched,https://youtu.be/1E4mJcRgrhs,Alternating Heel Touches,My PT Hub,13.0,
Barbell Deep Squat,matched,https://youtu.be/enThal66tUs,The Deep Squat Rotation (Mobility Exercise) By Squat University,Squat University,28.0,
Machine Kneeling Leg Curl,matched,https://youtu.be/O3Rtu2jvRM4,23-Kneeling Leg Curl Tutorial,Paul's Muscle Mecca,21.0,
Cable Deltoid Raise,no_match,,,,,
Dumbbell Stiff-Leg Deadlift,matched,https://youtu.be/KE2A7G_nDc8,Dumbbell Stiff Leg Deadlift Tutorial,IronmasterPro,27.0,
Leverage Shoulder Press,matched,https://youtu.be/tni4vtn817o,My PT Hub Exercise Library - Leverage Shoulder Press,My PT Hub,17.0,
Barbell Skull Crusher (Reverse Grip),matched,https://youtu.be/l3rHYPtMUo8,Barbell Skullcrusher,Renaissance Periodization,14.0,
Cable Crunch,matched,https://youtu.be/ToJeyhydUxU,Cable Crunch: Do It Right!,Testosterone Nation,26.0,
Cable One-Arm Tricep Extension,matched,https://youtu.be/NvfFTF_v76c,Cable One Arm Tricep Extension - How To,I'll Pump You Up,24.0,same video used for several exercises
Bridge,matched,https://youtu.be/B7kTkXDIMuE,How to Do a Supine Bridge Exercise | 30 Seconds | MedBridge,Medbridge,27.0,
Cable Bicep Curl (Close Grip),matched,https://youtu.be/bwGouvrXUD4,Exercise Tutorial - Unilateral Cable Bicep Curl,josh cowan,19.0,same video used for several exercises
Cable Grip Lat Pulldown (Narrow Grip),matched,https://youtu.be/j1fxEsUZE5U,Narrow Grip Lat Pulldown — Quick Technique Demo,Fitness By Physio,11.0,
Barbell Bulgarian Split Squat,matched,https://youtu.be/vLo49m8GUo4,Barbell Bulgarian Split Squat,Sports Rehab Consulting,16.0,
EZ Bar Preacher Curl (Close Grip),matched,https://youtu.be/sxA__DoLsgo,EZ Bar Preacher Curl,Renaissance Periodization,15.0,same video used for several exercises
Barbell Tricep Extension,matched,https://youtu.be/jZEnlrNh4Rg,Barbell Tricep Extensions from the Floor,Testosterone Nation,14.0,same video used for several exercises
Cable High Pulley Tricep Extension,no_match,,,,,
Seated Leg Tuck,matched,https://youtu.be/s_H1ByzX2vQ,Seated Leg Tucks   Exercise Videos & Guides   Bodybuilding com,how to lose weight with the keto diet,21.0,
Cable Rope Seated Row,matched,https://youtu.be/UdSzuSdanRo,Seated Rope Cable High Row,Figarelle's Fitness,25.0,
Machine Leg Press (Narrow Stance),matched,https://youtu.be/dhRz1Ns60Zg,How To Do Calf Raises On The Leg Press,PureGym,14.0,same video used for several exercises
Cable Straight Arm Crossover,no_match,,,,,
Cable Pullover (Supine),matched,https://youtu.be/dLCwFpKBuDY,Cable Pullover - Gym Exercise,Power Plus GYM,22.0,
Dumbbell Seated One-Arm Tricep Extension,matched,https://youtu.be/2i2UkUYb_Iw,One-Arm (Supinated) Dumbbell Tricep Extension,My PT Hub,17.0,same video used for several exercises
Dumbbell Inner Bicep Curl,matched,https://youtu.be/z8I2CohTic8,How To Get Big Biceps: Inner Bicep Curls,WeightLiftingInfo,22.0,
Dumbbell Alternating Incline Curl,matched,https://youtu.be/PIdsj1v3fmA,Alternating Incline Dumbbell Hammer Curl - OPEX Exercise Library,OPEX Fitness,14.0,same video used for several exercises
Cable Internal Rotation,matched,https://youtu.be/C_-CN1iji3c,Cable Internal Rotation - Exercise Demo,Pike Fitness,18.0,
Machine Squat,no_match,,,,,
Field Sports,no_match,,,,,
Weighted Side Bend,matched,https://youtu.be/EuBm1n1RQVU,Weighted Plate Side Bends,Global Fitness Training,13.0,
Cable Rear Pulldown (Wide Grip),no_match,,,,,
Machine Iso Lateral High Row,matched,https://youtu.be/UDd5rTtNut8,Iso Lateral High Row - Machine,Adrian Allen,20.0,
Yoga,no_match,,,,,
Outdoor Hiking,no_match,,,,,
Barbell Wrist Curl (Posterior),matched,https://youtu.be/3VLTzIrnb5g,How To Do Wrist Curls,PureGym,16.0,
Machine Bicep Curl (Reverse Grip),matched,https://youtu.be/rwo-3PTM8U4,Hammer Strength Select Biceps Curl,Hammer Strength,27.0,
Barbell Bicep Curl (Wide Grip),no_match,,,,,
Machine T Bar Reverse Row,matched,https://youtu.be/Vdc85ZF2eDk,Lever Reverse T Bar Row Back Exercise,Genemedics Health Institute,26.0,
Machine Lat Pulldown (Reverse Grip),matched,https://youtu.be/JGeRYIZdojU,How To Do A Lat Pulldown,PureGym,14.0,same video used for several exercises
Dumbbell Press (Close Grip),matched,https://youtu.be/T0Y3OBF1bNI,How To Do A Dumbbell Floor Press,PureGym,12.0,
Arm Circles,matched,https://youtu.be/UVMEnIaY8aU,Arm Circles Exercise,Sworkit,27.0,
Weight Plate Front Raise,matched,https://youtu.be/lQ7-wDYTdP4,Shoulder Exercises -- Weight Plate Front raise,HealthyLife,23.0,
Pull-Up (Hammer Grip),matched,https://youtu.be/zHSISE5HDxw,Pull ups 😜😜 gym lover shorts videos #shorts #trending #youtube #youtubeshorts #gaming #love,Aashu Malik manglauri ,16.0,
Smith Machine Bent-Over Row,matched,https://youtu.be/3_PeX9e9aCM,Smith Machine Bent Over Rows,My PT Hub,20.0,same video used for several exercises
Cable Pulldown (Underhand),matched,https://youtu.be/jYIWugY50nk,Cable Pulldown,Atomic Athlete,12.0,
Machine Single-Leg Curl,matched,https://youtu.be/N6FVnaasdq0,Single Leg Leg Curl,Renaissance Periodization,11.0,
Recumbent Bike,matched,https://youtu.be/Acg99yQZsXg,Hands On: Exercise Bike Review - Schwinn 270 Recumbent Bike Test Ride,Hands On,29.0,
Barbell Sumo Squat,matched,https://youtu.be/F6NCSkQ9y34,How To ♥️BARBELL SUMO SQUAT♥️🏋️. @pklifestyleshorts7922,PK lifestyle shorts,27.0,
Machine Vertical Row (Close Grip),matched,https://youtu.be/jBlunMD5MZs,Vertical Row Machine How-To,Raintree Athletic Club,23.0,same video used for several exercises
Cable Upper Chest Crossover,no_match,,,,,
Dumbbell Bench Press (Palms in),matched,https://youtu.be/ZaDlbm8E8Tg,Dumbbell Bench Press - OPEX Exercise Library,OPEX Fitness,12.0,same video used for several exercises
Jump Rope,matched,https://youtu.be/Era6Bsiwv50,Jumping Squats Variation | Advanced Jump Rope| Devashish Sharma| #Shorts #Jumprope #tricks #skills, Devashish Sharma Vlogs,26.0,
Cable Upper Row,matched,https://youtu.be/bM_qDVwnKTc,DUAL D HANDLE CABLE ROW (UPPER BACK FOCUS),jack bennett,24.0,
Dumbbell Reverse Bicep Curl,matched,https://youtu.be/X5df_LHBVKQ,How To Do Reverse Curls (Pronated Bicep Curl),PureGym,10.0,
Glute Kickback (Kneeling),matched,https://youtu.be/dU1R-AHW4IM,How To: Cable Glute Kickback,Kia Khadem,27.0,
Oblique Crunch,matched,https://youtu.be/98eX0ndm7Z4,How to do an oblique crunch,Rehab My Patient,24.0,
